Time (s);sFiltered 0;Sampling Rate
0.0000000000e+000;4.7466206701e+000;4
2.5000000000e-001;3.1797936696e+000;
5.0000000000e-001;8.8101908850e-001;
7.5000000000e-001;1.5948655515e+000;
1.0000000000e+000;2.0756037097e+000;
1.2500000000e+000;3.1403698340e+000;
1.5000000000e+000;2.4249392747e+000;
1.7500000000e+000;1.2211658745e+000;
2.0000000000e+000;1.5078467799e+000;
2.2500000000e+000;1.5741336799e+000;
2.5000000000e+000;2.2858581291e+000;
2.7500000000e+000;1.2632667510e+000;
3.0000000000e+000;1.6163448031e+000;
3.2500000000e+000;1.8336483498e+000;
3.5000000000e+000;1.5715943411e+000;
3.7500000000e+000;4.0677647721e+000;
4.0000000000e+000;1.8633385821e+000;
4.2500000000e+000;2.4258248136e+000;
4.5000000000e+000;1.4916589114e+000;
4.7500000000e+000;2.6024008739e+000;
5.0000000000e+000;1.8525913898e+000;
5.2500000000e+000;1.7869531427e+000;
5.5000000000e+000;3.0056420379e+000;
5.7500000000e+000;2.4984692471e+000;
6.0000000000e+000;2.5888062132e+000;
6.2500000000e+000;3.1485462829e+000;
6.5000000000e+000;3.0342973935e+000;
6.7500000000e+000;2.2385287260e+000;
7.0000000000e+000;1.4811550673e+000;
7.2500000000e+000;1.5146537993e+000;
7.5000000000e+000;1.7877571395e+000;
7.7500000000e+000;2.2672470437e+000;
8.0000000000e+000;2.1803246423e+000;
8.2500000000e+000;2.7549518695e+000;
8.5000000000e+000;2.5738078799e+000;
8.7500000000e+000;3.6005676946e+000;
9.0000000000e+000;2.2494849508e+000;
9.2500000000e+000;1.6695179612e+000;
9.5000000000e+000;1.3377291767e+000;
9.7500000000e+000;9.3074506844e-001;
1.0000000000e+001;1.5566225740e+000;
1.0250000000e+001;3.2533433996e+000;
1.0500000000e+001;3.1580749587e+000;
1.0750000000e+001;2.4053061564e+000;
1.1000000000e+001;2.1354651204e+000;
1.1250000000e+001;4.6273924846e+000;
1.1500000000e+001;1.4026429791e+000;
1.1750000000e+001;1.4362889017e+000;
1.2000000000e+001;1.3873143564e+000;
1.2250000000e+001;1.9675500223e+000;
1.2500000000e+001;2.0164854976e+000;
1.2750000000e+001;2.8593369047e+000;
1.3000000000e+001;2.0381959992e+000;
1.3250000000e+001;1.7048482949e+000;
1.3500000000e+001;1.6395220978e+000;
1.3750000000e+001;3.1664362719e+000;
1.4000000000e+001;2.2178070069e+000;
