Time (s);sFiltered 0;Sampling Rate
0.0000000000e+000;7.1886121012e-001;4
2.5000000000e-001;5.3453286676e-001;
5.0000000000e-001;3.1034992932e-001;
7.5000000000e-001;4.8767742148e-001;
1.0000000000e+000;7.0832972767e-001;
1.2500000000e+000;5.0933049278e-001;
1.5000000000e+000;2.8522733963e-001;
1.7500000000e+000;7.2209639790e-001;
2.0000000000e+000;2.5304636900e-001;
2.2500000000e+000;2.9904469553e-001;
2.5000000000e+000;3.6716289281e-001;
2.7500000000e+000;4.1742481946e-001;
3.0000000000e+000;6.2440834390e-001;
3.2500000000e+000;1.9460587918e+000;
3.5000000000e+000;7.3189401056e-001;
3.7500000000e+000;5.6306622988e-001;
4.0000000000e+000;4.0575371884e-001;
4.2500000000e+000;5.7214774665e-001;
4.5000000000e+000;1.2636851866e+000;
4.7500000000e+000;6.2676157461e-001;
5.0000000000e+000;5.0578293086e-001;
5.2500000000e+000;1.0490936781e+000;
5.5000000000e+000;2.5224091820e-001;
5.7500000000e+000;3.8152446822e-001;
6.0000000000e+000;1.0253557043e+000;
6.2500000000e+000;9.6475310684e-001;
6.5000000000e+000;2.9303304914e-001;
6.7500000000e+000;9.7883534079e-001;
7.0000000000e+000;1.3235951873e+000;
7.2500000000e+000;7.5808790228e-001;
7.5000000000e+000;6.1732924939e-001;
7.7500000000e+000;1.0631020060e+000;
8.0000000000e+000;4.6699737310e-001;
8.2500000000e+000;3.3137128699e-001;
8.5000000000e+000;6.4927478470e-001;
8.7500000000e+000;9.0590662578e-001;
9.0000000000e+000;1.0562157644e+000;
9.2500000000e+000;1.4870007270e+000;
9.5000000000e+000;1.0380195718e+000;
9.7500000000e+000;5.4878848516e-001;
1.0000000000e+001;3.9007227466e-001;
1.0250000000e+001;5.1908988717e-001;
1.0500000000e+001;8.9250004351e-001;
1.0750000000e+001;7.3366860829e-001;
1.1000000000e+001;1.2352169960e+000;
1.1250000000e+001;5.6536793206e-001;
1.1500000000e+001;9.1859738700e-001;
1.1750000000e+001;3.1388808583e+000;
1.2000000000e+001;3.6681223891e-001;
1.2250000000e+001;7.2156777252e-001;
1.2500000000e+001;1.2717786318e+000;
1.2750000000e+001;1.4092619836e+000;
1.3000000000e+001;1.5175791056e+000;
1.3250000000e+001;7.8819355583e-001;
1.3500000000e+001;6.7741680466e-001;
1.3750000000e+001;7.0413856745e-001;
1.4000000000e+001;8.3542977059e-001;
1.4250000000e+001;9.0185098577e-001;
1.4500000000e+001;7.0254095591e-001;
1.4750000000e+001;7.5028762421e-001;
1.5000000000e+001;8.2145230278e-001;
1.5250000000e+001;1.1824815648e+000;
1.5500000000e+001;9.3917705195e-001;
1.5750000000e+001;1.1015535988e+000;
1.6000000000e+001;9.8886915412e-001;
1.6250000000e+001;4.4796179007e-001;
1.6500000000e+001;4.6624984464e-001;
1.6750000000e+001;4.3727274671e-001;
1.7000000000e+001;4.4547589173e-001;
1.7250000000e+001;9.2456561038e-001;
1.7500000000e+001;8.5495313223e-001;
1.7750000000e+001;7.3887910568e-001;
1.8000000000e+001;1.0995286234e+000;
1.8250000000e+001;1.3959046308e+000;
1.8500000000e+001;2.3017296985e-001;
1.8750000000e+001;2.9928955162e-001;
1.9000000000e+001;8.3203623315e-002;
1.9250000000e+001;7.7658778723e-001;
1.9500000000e+001;1.0441676170e+000;
1.9750000000e+001;3.1244233178e-001;
2.0000000000e+001;5.8081244762e-001;
2.0250000000e+001;7.2405525816e-001;
2.0500000000e+001;6.9930929116e-001;
2.0750000000e+001;7.5350940074e-001;
2.1000000000e+001;9.9814827008e-001;
2.1250000000e+001;7.6473064095e-001;
2.1500000000e+001;8.4372531190e-001;
2.1750000000e+001;1.7974676273e+000;
2.2000000000e+001;5.6775727189e-001;
2.2250000000e+001;4.9046513956e-001;
2.2500000000e+001;2.8572248425e-001;
2.2750000000e+001;3.4131456049e-001;
2.3000000000e+001;3.3152861560e-001;
2.3250000000e+001;1.8643112742e-001;
2.3500000000e+001;7.1797342487e-001;
2.3750000000e+001;4.4704723771e-001;
2.4000000000e+001;6.0557678363e-001;
2.4250000000e+001;5.1435516027e-001;
2.4500000000e+001;7.2069568927e-001;
2.4750000000e+001;2.6103678008e-001;
2.5000000000e+001;4.5450787472e-001;
2.5250000000e+001;5.9758285465e-001;
2.5500000000e+001;4.7505854021e-001;
2.5750000000e+001;1.0532058561e+000;
2.6000000000e+001;8.6715672993e-001;
2.6250000000e+001;1.2578495535e+000;
2.6500000000e+001;4.6943529719e-001;
2.6750000000e+001;2.3182750247e-001;
